icmp_seq,rtt_ms
1,34.9
2,35.3
3,35.2
4,34.8
5,34.0
6,33.8
7,33.1
8,33.0
9,31.8
10,32.7
11,30.5
12,45.7
13,34.9
14,34.0
15,34.0
16,34.3
17,32.7
18,32.5
19,32.3
20,31.4
21,36.2
22,36.0
23,36.6
24,36.0
25,36.5
26,35.9
27,35.4
28,36.8
29,35.2
30,39.6
31,33.8
32,33.9
33,38.9
34,34.2
35,33.3
36,34.1
37,33.3
38,32.7
39,31.8
40,31.6
41,35.8
42,30.9
43,36.1
44,35.5
45,35.1
46,34.5
47,34.6
48,34.2
49,33.6
50,33.4
51,32.8
52,32.2
53,36.3
54,35.1
55,34.8
56,34.9
57,33.1
58,31.4
59,35.6
60,34.4
61,33.8
62,32.2
63,30.5
64,44.2
65,33.3
66,31.7
67,35.6
68,34.2
69,33.5
70,32.2
71,35.4
72,34.1
73,33.6
74,32.7
75,31.7
76,35.9
77,35.9
78,33.4
79,32.8
80,30.6
81,35.1
82,34.8
83,31.3
84,35.5
85,49.7
86,33.5
87,32.3
88,31.2
89,35.4
90,33.7
91,32.5
92,35.8
93,33.7
94,32.1
95,31.9
96,46.0
97,33.7
98,32.1
99,36.1
100,35.4
101,35.0
102,33.0
103,32.1
104,34.9
105,33.8
106,33.2
107,32.2
108,31.2
109,35.5
110,34.1
111,32.9
112,31.7
113,36.0
114,34.2
115,33.1
116,32.3
117,34.0
118,33.2
119,32.6
120,31.9
121,35.7
122,33.7
123,32.2
124,35.4
125,34.4
126,33.0
127,36.5
128,33.9
129,33.4
130,31.1
131,35.7
132,34.1
133,33.5
134,32.1
135,35.5
136,34.3
137,53.9
138,31.6
139,35.5
140,34.3
141,32.2
142,36.2
143,34.2
144,33.1
145,32.6
146,35.7
147,34.4
148,32.7
149,32.0
150,35.7
151,34.4
152,34.0
153,32.8
154,32.0
155,35.0
156,34.2
157,33.7
158,32.9
159,31.8
160,35.0
161,34.1
162,32.6
163,31.8
164,35.7
165,33.5
166,32.0
167,31.2
168,35.6
169,34.4
170,32.9
171,33.1
172,32.0
173,30.9
174,34.3
175,33.2
176,33.1
177,33.1
178,35.1
179,34.2
180,33.2
181,41.6
182,35.3
183,33.4
184,32.7
185,31.3
186,35.0
187,33.6
188,33.1
189,31.9
190,35.5
191,32.8
192,32.8
193,31.4
194,35.1
195,54.1
196,33.2
197,31.8
198,35.1
199,33.6
200,31.2
201,34.9
202,34.6
203,34.9
204,32.1
205,31.7
206,35.8
207,34.1
208,32.9
209,32.0
210,31.4
211,34.9
212,33.2
213,31.6
214,35.8
215,34.5
216,32.7
217,31.6
218,31.3
219,33.6
220,41.9
221,36.3
222,34.3
223,32.7
224,31.1
225,35.4
226,34.1
227,32.2
228,35.8
229,18.8
230,32.1
231,36.1
232,34.9
233,54.0
234,32.3
